ZIP,YEAR,AMPUTATIONS
41519,2016,2
41519,2017,1
41519,2019,1
41519,2020,4
41522,2016,4
41522,2017,8
41522,2018,2
41522,2019,1
41522,2020,5
41527,2018,1
41528,2017,1
41531,2018,1
41531,2019,1
41531,2020,3
41537,2016,1
41537,2017,4
41537,2018,2
41537,2019,1
41537,2020,7
41539,2017,3
41539,2018,1
41539,2020,1
41542,2019,1
41542,2020,2
41543,2018,1
41544,2018,1
41547,2017,4
41547,2019,1
41548,2016,2
41548,2018,2
41548,2020,1
41549,2018,4
41553,2016,14
41553,2017,3
41553,2018,1
41553,2019,1
41554,2018,1
41557,2018,1
41557,2019,1
41557,2020,2
41558,2016,1
41558,2018,1
41558,2020,1
41559,2017,1
41559,2019,1
41560,2016,1
41560,2017,1
41560,2018,2
41560,2019,1
41561,2016,1
41562,2016,5
41562,2017,2
41562,2018,2
41562,2019,1
41562,2020,4
41564,2019,1
41566,2019,1
41568,2016,4
41568,2018,2
41568,2019,1
41568,2020,4
41572,2016,5
41572,2017,3
41572,2018,3
41572,2019,1
41572,2020,4
41601,2016,2
41601,2017,1
41601,2019,1
41601,2020,3
41603,2018,1
41603,2019,1
41604,2016,1
41604,2017,1
41604,2018,3
41604,2019,1
41604,2020,1
41605,2017,1
41605,2018,3
41605,2019,1
41606,2020,1
41607,2016,1
41612,2018,1
41612,2019,1
41615,2020,3
41616,2020,1
41619,2019,1
41619,2020,2
41621,2017,1
41622,2016,1
41622,2018,2
41622,2019,1
41622,2020,2
41630,2017,2
41630,2020,3
41631,2016,1
41631,2018,2
41635,2017,2
41635,2018,4
41635,2019,1
41636,2016,2
41636,2017,2
41636,2018,2
41636,2019,1
41636,2020,8
41640,2018,1
41640,2020,3
41642,2017,1
41642,2018,2
41642,2019,1
41642,2020,2
41645,2017,1
41645,2018,1
41645,2019,1
41645,2020,2
41647,2016,1
41647,2018,2
41647,2020,3
41649,2017,1
41649,2019,1
41649,2020,3
41650,2017,1
41650,2018,1
41650,2019,1
41650,2020,3
41651,2020,1
41653,2016,9
41653,2017,12
41653,2018,11
41653,2019,6
41653,2020,10
41655,2017,1
41655,2019,1
41655,2020,4
41659,2016,2
41659,2017,1
41659,2018,1
41660,2016,1
41660,2018,3
41660,2019,1
41660,2020,3
41663,2019,1
41666,2017,1
41667,2017,1
41667,2018,3
41667,2019,1
41669,2016,1
41669,2017,1
41669,2020,2
41701,2016,19
41701,2017,14
41701,2018,19
41701,2019,16
41701,2020,13
41702,2016,2
41702,2017,2
41702,2019,1
41702,2020,2
41713,2017,1
41714,2019,1
41719,2017,2
41719,2018,1
41719,2019,1
41719,2020,2
41721,2018,4
41721,2019,1
41721,2020,1
41722,2016,2
41722,2017,1
41722,2018,2
41722,2019,1
41722,2020,3
41723,2016,2
41723,2017,1
41725,2018,1
41727,2018,1
41729,2016,3
41729,2017,1
41729,2018,1
41729,2019,1
41729,2020,2
41731,2016,2
41731,2017,2
41731,2019,1
41731,2020,2
41735,2016,1
41735,2018,1
41736,2020,1
41743,2016,1
41743,2018,2
41743,2019,1
41743,2020,1
41745,2016,1
41745,2017,1
41745,2018,3
41746,2017,2
41746,2019,1
41746,2020,1
41749,2016,9
41749,2017,2
41749,2018,3
41749,2019,6
41749,2020,4
41751,2016,2
41754,2018,1
41759,2018,2
41759,2020,1
41763,2016,1
41764,2016,2
41766,2017,1
41766,2018,1
41766,2019,1
41773,2018,2
41773,2019,1
41773,2020,2
41774,2016,6
41774,2017,3
41774,2018,3
41774,2019,1
41774,2020,4
41776,2016,3
41776,2018,6
41778,2016,1
41778,2018,1
41804,2016,1
41804,2018,1
41804,2019,1
41819,2017,1
41821,2016,2
41821,2019,1
41821,2020,2
41822,2016,1
41822,2017,1
41822,2018,2
41822,2019,1
41822,2020,4
41824,2016,2
41825,2017,1
41825,2019,1
41825,2020,1
41826,2017,3
41826,2018,1
41826,2020,1
41828,2016,1
41828,2018,1
41828,2019,1
41828,2020,5
41831,2019,1
41831,2020,1
41832,2017,1
41833,2019,1
41834,2019,1
41835,2017,1
41835,2018,2
41835,2019,1
41835,2020,1
41836,2016,1
41836,2020,1
41837,2020,1
41839,2019,1
41840,2017,2
41840,2018,2
41840,2019,1
41840,2020,3
41843,2018,1
41844,2018,1
41844,2019,1
41844,2020,1
41847,2017,1
41847,2020,1
41849,2017,1
41855,2017,1
41858,2016,7
41858,2017,3
41858,2018,8
41858,2019,7
41858,2020,4
41861,2020,3
41862,2016,5
41862,2017,1
41862,2019,1
42001,2016,14
42001,2017,23
42001,2018,14
42001,2019,15
42001,2020,24
42002,2016,1
42002,2017,1
42002,2018,1
42002,2019,1
42002,2020,2
42003,2016,15
42003,2017,17
42003,2018,25
42003,2019,23
42003,2020,12
42020,2016,3
42020,2017,1
42020,2019,1
42020,2020,3
42021,2020,1
42023,2019,1
42023,2020,2
42024,2016,3
42024,2017,1
42024,2018,1
42024,2019,1
42025,2016,6
42025,2017,8
42025,2018,14
42025,2019,17
42025,2020,12
42027,2016,1
42027,2018,2
42027,2019,1
42027,2020,1
42028,2016,1
42028,2020,1
42029,2016,4
42029,2017,2
42029,2018,4
42029,2019,1
42029,2020,1
42031,2016,3
42031,2018,4
42031,2019,1
42031,2020,1
42035,2017,1
42036,2016,1
42036,2019,1
42038,2016,1
42038,2017,2
42038,2018,1
42038,2019,1
42038,2020,5
42039,2016,1
42039,2017,1
42039,2019,1
42040,2017,1
42040,2019,1
42040,2020,1
42041,2016,1
42041,2017,3
42041,2018,4
42041,2019,1
42041,2020,3
42044,2016,1
42044,2017,2
42044,2018,1
42044,2019,1
42045,2017,1
42045,2018,2
42045,2019,1
42045,2020,1
42047,2017,1
42048,2016,2
42048,2017,4
42048,2018,2
42048,2019,1
42048,2020,1
42049,2018,1
42049,2019,1
42050,2016,3
42050,2017,3
42050,2018,4
42050,2019,1
42050,2020,2
42051,2017,1
42051,2018,2
42051,2020,3
42053,2016,2
42053,2017,2
42053,2018,2
