ZIP,YEAR,AMPUTATIONS
26681,2019,*
26681,2018,*
25081,2020,*
25081,2018,*
25081,2017,*
25081,2016,*
26662,2016,*
24976,2020,*
26662,2019,*
26662,2018,*
26662,2017,*
25607,2020,*
25607,2019,*
25607,2018,*
25607,2017,*
25140,2020,*
25140,2018,*
25140,2017,*
25140,2016,*
26520,2019,*
26520,2017,*
26520,2016,*
25854,2018,*
25638,2017,*
25638,2016,*
25637,2020,*
25637,2019,*
25234,2017,*
25637,2017,*
25234,2016,*
25637,2016,*
26419,2020,*
26419,2018,*
26419,2017,*
25085,2017,*
25085,2016,*
25133,2020,*
25133,2017,*
26581,2020,*
25268,2020,*
26160,2020,*
26160,2019,*
26160,2016,*
25121,2016,*
25649,2020,*
25649,2019,*
25649,2018,*
25649,2016,*
25529,2020,*
25529,2018,*
25529,2016,*
26167,2020,*
25164,2020,*
25164,2019,*
25164,2017,*
25164,2016,*
25502,2020,*
25502,2018,*
25502,2017,*
25502,2016,*
25958,2020,*
25958,2019,*
25958,2018,*
25958,2017,*
25958,2016,*
26411,2018,*
26411,2016,*
25181,2020,*
25181,2019,*
25181,2017,*
25181,2016,*
25512,2019,*
25512,2018,*
25512,2017,*
25512,2016,*
25971,2018,*
25971,2017,*
25075,2020,*
25075,2019,*
25075,2018,*
25075,2017,*
26739,2019,*
26678,2018,*
25187,2019,*
25187,2018,*
25187,2017,*
25611,2016,17
25611,2020,*
25611,2019,*
25262,2020,*
25262,2019,*
24817,2016,*
26134,2020,*
26134,2018,*
26134,2016,*
26717,2020,*
26717,2018,*
25521,2020,*
25521,2019,*
25521,2018,*
26372,2018,*
25521,2017,*
25521,2016,*
25185,2020,*
25185,2016,*
25118,2020,*
25118,2019,*
24822,2019,*
26338,2019,*
26338,2018,*
24828,2018,*
25039,2020,*
25039,2019,*
25039,2016,*
25573,2020,*
25573,2018,*
25208,2019,*
25208,2017,*
25208,2016,*
26621,2019,*
25646,2018,*
25646,2017,*
25083,2020,*
25083,2019,*
25507,2019,*
25507,2018,*
25165,2020,*
25165,2018,*
24991,2020,*
24991,2016,*
26377,2019,*
25511,2020,*
25511,2019,*
25511,2017,*
25511,2016,*
25547,2018,*
25547,2017,*
25031,2020,*
25031,2017,*
25154,2019,*
25154,2018,*
25154,2017,*
26852,2016,*
26852,2019,*
26575,2020,*
26575,2019,*
26575,2018,*
26575,2016,*
24726,2019,*
24726,2018,*
24726,2016,*
24815,2019,*
25647,2019,*
25647,2018,*
25647,2017,*
25647,2016,*
25086,2020,*
25979,2019,*
25086,2017,*
25979,2016,*
25266,2018,*
26451,2016,*
25617,2019,*
25617,2016,*
26568,2016,*
26574,2020,*
26574,2019,*
25878,2018,*
24811,2019,*
24811,2016,*
26804,2018,*
24836,2020,*
24836,2019,*
24836,2018,*
24836,2017,*
24836,2016,*
26039,2020,*
26039,2019,*
24851,2019,*
24851,2018,*
24851,2017,*
26767,2020,*
26767,2019,*
25651,2017,*
26292,2017,*
26292,2016,*
25007,2019,*
25007,2018,*
26278,2019,*
26369,2019,*
26369,2018,*
24873,2016,*
26278,2016,*
24916,2018,*
26576,2020,*
26576,2018,*
25174,2018,*
25174,2016,*
26136,2020,*
26136,2019,*
26136,2017,*
25109,2019,*
26705,2019,*
25109,2018,*
25109,2017,*
26161,2020,*
26161,2018,*
24879,2018,*
26264,2020,*
25106,2020,*
25106,2018,*
25106,2017,*
26293,2020,*
26293,2019,*
26030,2017,*
24736,2020,*
25111,2016,*
24872,2019,12
25113,2020,*
25113,2019,*
25113,2018,*
25244,2018,*
24733,2017,*
24872,2017,*
25845,2020,*
25567,2019,*
26422,2020,*
26422,2019,*
26422,2018,*
26422,2017,*
26422,2016,*
24857,2019,*
25630,2020,*
25630,2018,*
25630,2017,*
25107,2020,*
25107,2017,*
25107,2016,*
25024,2020,*
25024,2017,*
25024,2016,*
25565,2018,*
26275,2019,*
26275,2018,*
25666,2020,*
25666,2019,*
25666,2016,*
25019,2020,*
26437,2020,*
26437,2018,*
26437,2017,*
26437,2016,*
26404,2018,*
25247,2020,*
25247,2019,*
25247,2018,*
25247,2017,*
24944,2018,*
25981,2020,*
25981,2019,*
25981,2018,*
25981,2016,*
25285,2020,*
25285,2018,*
25978,2018,*
